videos	encode	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
1	credits.yuv	5	4	5	3	4	4	5	5	4	3	5	5	5	5	5	5	4	5	5	4	5	5	4	3	5	4	5	5
1	credits-4M.yuv	2	2	4	3	3	1	2	3	2	2	4	2	2	3	3	3	1	3	3	3	5	4	2	2	2	3	3	2
1	credits-6M.yuv	3	3	4	4	3	2	4	4	2	3	5	3	2	4	4	3	2	3	5	4	5	4	3	2	2	4	3	5
1	credits-7M.yuv	3	5	4	5	4	4	3	4	3	3	5	3	5	4	5	3	2	4	4	4	3	5	4	4	3	3	4	4
1	credits-8M.yuv	3	5	4	4	4	3	4	4	2	3	4	4	3	5	5	4	2	4	5	5	4	3	4	3	4	4	3	5
1	credits-9M.yuv	4	4	5	4	5	4	3	5	3	4	4	2	4	5	5	4	3	5	4	5	4	4	4	5	3	3	4	4
1	credits-10M.yuv	5	5	5	4	5	5	4	5	4	4	4	4	3	5	5	3	3	5	5	4	4	5	4	5	4	4	3	5
1	credits-14M.yuv	5	4	5	4	4	3	5	5	3	4	5	4	5	5	5	4	4	5	5	5	5	5	4	5	4	4	5	5
2	golf.yuv	5	4	4	4	4	5	5	4	3	4	5	4	4	4	5	4	5	4	5	5	4	5	4	2	4	5	5	4
2	golf-1M.yuv	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	1	1	3	2	2	2	2	1	1	2	2	1
2	golf-1_5M.yuv	2	2	3	3	3	1	2	3	2	3	2	2	2	4	3	2	1	3	4	3	2	3	3	1	2	3	3	3
2	golf-2M.yuv	2	3	3	4	3	1	2	2	3	3	3	3	3	2	3	3	1	3	4	3	3	4	3	2	2	3	4	3
2	golf-2_5M.yuv	3	2	4	4	3	2	3	3	3	4	4	3	4	4	3	2	1	4	4	4	3	4	3	2	3	4	3	3
2	golf-3M.yuv	4	3	4	4	5	2	4	4	3	3	5	4	3	3	4	3	2	4	5	3	3	4	4	4	4	4	4	5
